Index,Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
102690,Untitled,Trisha Donnelly,33913.0,2010,"Audio file, 2:15-minute loop",,The Pat Hearn and Colin de Land Acquisition Fund and the Goldberg Contemporary Art Fund,547.2010,Audio,Painting & Sculpture,2010-09-13,Y,140131,http://www.moma.org/collection/works/140131,http://www.moma.org/media/W1siZiIsIjM4MTI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc702f54db9d6f0b,,,,,,,,,
102736,"Recording for Fly, by Yoko Ono",Joe Jones,2934.0,August 1971,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4822,Audio,Fluxus Collection,2008-10-08,N,140251,,,,0.0,,0.0,,,0.0,,
106062,Drumming,Steve Reich,4848.0,1971,33 1/3 rpm LP,"12 3/8 x 12 5/16"" (31.5 x 31.2 cm)","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",748.2011.1,Audio,Media and Performance,2011-05-19,Y,147090,http://www.moma.org/collection/works/147090,,,0.0,,31.5,,,31.2,,
106087,7,Lawrence Weiner,6288.0,1972,"33 1/3"" LP","36:10 min.
12 3/16 x 12 3/16"" (31 x 31 cm)
","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",749.2011.a-b,Audio,Media and Performance,2011-05-19,Y,147116,http://www.moma.org/collection/works/147116,,,0.0,,31.0,,,31.0,,
106088,Having Been Done At/ Having Been Done To/ Essendo Stato Fatto A,Lawrence Weiner,6288.0,1973,"33 1/3"" LP","44:10 min.
12 5/16 x 12 5/16"" (31.2 x 31.2 cm)
","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",750.2011.a-b,Audio,Media and Performance,2011-05-19,Y,147117,http://www.moma.org/collection/works/147117,,,0.0,,31.2,,,31.2,,
106090,Nothing to Lose/ Niets aan verloren,Lawrence Weiner,6288.0,1976,"33 1/3"" LP","30:30 min.
12 3/16 x 12 3/16"" (31 x 31 cm)
","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",751.2011.a-b,Audio,Media and Performance,2011-05-19,Y,147119,http://www.moma.org/collection/works/147119,,,0.0,,31.0,,,31.0,,
106229,Meetings between Blaine and Irwin,Lynn Hershman Leeson,39696.0,1976,Audio recordings on 3 Compact Discs,"Disc 1: 21 min., 23 sec.
Disc 2: 53 min., 17 sec.
Disc 3: 22 min., 11 sec.",Gift of Gallery Paule Anglim,879.2011.27,Audio,Photography,2011-10-03,N,147329,,,,,,,,,,,1283.0
108805,Drumming,Steve Reich,4848.0,1971,"33 1/3 rpm LP, lithographs, and typewritten text on paper","Record: 12 3/8 x 12 5/16"" (31.5 x 31.2 cm)","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",748.2011.1-2,Audio,Media and Performance,2011-05-19,Y,154426,http://www.moma.org/collection/works/154426,http://www.moma.org/media/W1siZiIsIjQwMDUxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=32bc0f33001e1381,,0.0,,31.5,,,31.2,,
111666,Requiem for Wagner the Criminal Mayor,Dick Higgins,2637.0,1962,5 reel to reel audio tapes,,The Gilbert and Lila Silverman Fluxus Collection Gift,2251.2008.1a-e,Audio,Drawings & Prints,2008-10-08,N,163528,,,,0.0,,0.0,,,0.0,,
115728,Steven Leiber Audio Collection,Various Artists,24409.0,1959–2010,"Collection of over 300 audio works by more than 150 artists, including 237 vinyl LP records and 76 cassette tapes and CDs",dimensions vary,Committee on Prints and Illustrated Books Fund,854.2013.1-349,Audio,Drawings & Prints,2013-10-10,Y,173024,http://www.moma.org/collection/works/173024,,,,,,,,,,
115756,When Sunny Expands,Rita Ackermann,38676.0,1997,12-inch vinyl record with painted cover and popouts,"cover: 12 1/2 × 12 1/2"" (31.8 × 31.8 cm)",Committee on Prints and Illustrated Books Fund,854.2013.2,Audio,Drawings & Prints,2013-10-10,Y,173208,http://www.moma.org/collection/works/173208,http://www.moma.org/media/W1siZiIsIjM3NjQ3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0a64451e176be22d,,0.0,,31.7500635001,,,31.7500635001,,
115789,TRI-STAR,Isa Genzken,28632.0,1979,7-inch vinyl record,"overall (record): 6 7/8 x 6 7/8"" (17.5 x 17.5 cm)",General Print Fund,770.2013,Audio,Drawings & Prints,2013-10-10,Y,173290,http://www.moma.org/collection/works/173290,http://www.moma.org/media/W1siZiIsIjI4NzA5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=227ba558c769edf4,,0.0,,17.5,,,17.5,,
115895,Andy Warhol's Index (Book),Andy Warhol,6246.0,1967,"Artist's book, offset lithograph printed, with pop-ups, fold-outs, collage additions, and one 7"" flexi disc","page (each): 10 7/8 × 8 1/16"" (27.7 × 20.5 cm); overall (closed): 11 1/4 × 8 11/16 × 9/16"" (28.5 × 22 × 1.4 cm)","Committee on Prints and Illustrated Books Fund
",854.2013.325,Audio,Drawings & Prints,2013-10-10,Y,173883,http://www.moma.org/collection/works/173883,http://www.moma.org/media/W1siZiIsIjQyMTE5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=580e3da54ee8dc1c,,,,27.7,,,20.5,,
115896,The Sound of Music (A record with the sound of its own making*),Jonathan Monk,28724.0,2007,12-inch vinyl record with screenprinted cover and photograph insert,"cover: 12 3/8 × 12 3/8"" (31.4 × 31.4 cm); sheet (photograph): 12 × 12"" (30.5 × 30.5 cm)","Committee on Prints and Illustrated Books Fund
",854.2013.180,Audio,Drawings & Prints,2013-10-10,Y,173884,http://www.moma.org/collection/works/173884,http://www.moma.org/media/W1siZiIsIjQyMTE3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9be07dcb66f204db,,0.0,,31.432562865100003,,,31.432562865100003,,
116536,unidentified,Eric Andersen,36940.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4824,Audio,Fluxus Collection,2008-10-08,N,175264,,,,0.0,,0.0,,,0.0,,
116537,And this is my piece not accepted as art-performance by the Danish radio symphony orchestra,Eric Andersen,36940.0,c. 1965,Audio,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4825,Audio,Fluxus Collection,2008-10-08,N,175265,,,,0.0,,0.0,,,0.0,,
116538,unidentified,Eric Andersen,36940.0,,Audio,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4826.1,Audio,Fluxus Collection,2008-10-08,N,175266,,,,0.0,,0.0,,,0.0,,
116539,Eroticon for a longish text by Dick Higgins,Eric Andersen,36940.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4827.1,Audio,Fluxus Collection,2008-10-08,N,175267,,,,0.0,,0.0,,,0.0,,
116540,Mete Med Bild,Eric Andersen,36940.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4828,Audio,Fluxus Collection,2008-10-08,N,175268,,,,0.0,,0.0,,,0.0,,
116541,Electronic Composition No. 3,Istvan Anhalt,44754.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4829.1,Audio,Fluxus Collection,2008-10-08,N,175269,,,,0.0,,0.0,,,0.0,,
116542,Lecture with Questions (inc),John Cage,912.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4830,Audio,Fluxus Collection,2008-10-08,N,175270,,,,0.0,,0.0,,,0.0,,
116543,Fontana Mix Sample 1 of 2,John Cage,912.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4831.1,Audio,Fluxus Collection,2008-10-08,N,175271,,,,0.0,,0.0,,,0.0,,
116545,"Side 1: Cathy Berberian performance with Luciano Berio commentary, Side 2: Cage's Aria with Fontana Mix",John Cage,912.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4833.1,Audio,Fluxus Collection,2008-10-08,N,175273,,,,0.0,,0.0,,,0.0,,
116546,I am no. 1/Dialectical Evolution,Henning Christiansen,36942.0,1965,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4834.1,Audio,Fluxus Collection,2008-10-08,N,175274,,,,0.0,,0.0,,,0.0,,
116547,Eurasientab Fluxorum organum,Henning Christiansen,36942.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4835,Audio,Fluxus Collection,2008-10-08,N,175275,,,,0.0,,0.0,,,0.0,,
116548,Front Porch Music,Douglas Davis,40384.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4836,Audio,Fluxus Collection,2008-10-08,N,175276,,,,0.0,,0.0,,,0.0,,
116549,Le Tombeau de Pierre Larousse /,François Dufrêne,38041.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4837.1,Audio,Fluxus Collection,2008-10-08,N,175277,,,,0.0,,0.0,,,0.0,,
116550,Rules for Street fighters & others,Robert Filliou,1873.0,1966,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4838.1,Audio,Fluxus Collection,2008-10-08,N,175278,,,,0.0,,0.0,,,0.0,,
116551,"(sounds like Fine's ""Water Music"")",Albert M. Fine,1874.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4839.1,Audio,Fluxus Collection,2008-10-08,N,175279,,,,0.0,,0.0,,,0.0,,
116552,"Ray Johnson A Musics, poetry?",Albert M. Fine,1874.0,,open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4840.1,Audio,Fluxus Collection,2008-10-08,N,175281,,,,0.0,,0.0,,,0.0,,
116553,Two poems with Christopher,Albert M. Fine,1874.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4841.1,Audio,Fluxus Collection,2008-10-08,N,175282,,,,0.0,,0.0,,,0.0,,
116554,On the Radio,Al Hansen,30644.0,,Audio,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4842,Audio,Fluxus Collection,2008-10-08,N,175283,,,,0.0,,0.0,,,0.0,,
116555,"Alice Denham in 48 seconds, 1959",Al Hansen,30644.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4843,Audio,Fluxus Collection,2008-10-08,N,175284,,,,0.0,,0.0,,,0.0,,
116556,I and II,Al Hansen,30644.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4844,Audio,Fluxus Collection,2008-10-08,N,175285,,,,0.0,,0.0,,,0.0,,
116557,III,Al Hansen,30644.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4845,Audio,Fluxus Collection,2008-10-08,N,175286,,,,0.0,,0.0,,,0.0,,
116558,Untitled,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4847,Audio,Fluxus Collection,2008-10-08,N,175288,,,,0.0,,0.0,,,0.0,,
116559,Five Electronic Constellations,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4846.1,Audio,Fluxus Collection,2008-10-08,N,175289,,,,0.0,,0.0,,,0.0,,
116560,Mechanical Music No. 5,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4848,Audio,Fluxus Collection,2008-10-08,N,175290,,,,0.0,,0.0,,,0.0,,
116561,Stacked Deck (2 performances),Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4849,Audio,Fluxus Collection,2008-10-08,N,175291,,,,0.0,,0.0,,,0.0,,
116562,Graphis 82,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4850,Audio,Fluxus Collection,2008-10-08,N,175292,,,,0.0,,0.0,,,0.0,,
116563,"5 Electronic Constellations A, B",Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4851,Audio,Fluxus Collection,2008-10-08,N,175293,,,,0.0,,0.0,,,0.0,,
116564,"5 Electronic Constellations C, D",Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4852,Audio,Fluxus Collection,2008-10-08,N,175294,,,,0.0,,0.0,,,0.0,,
116565,"5 Electronic Constellations E, F",Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4853,Audio,Fluxus Collection,2008-10-08,N,175295,,,,0.0,,0.0,,,0.0,,
116566,Concert of Advanced Music at the Living Theater,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4854,Audio,Fluxus Collection,2008-10-08,N,175296,,,,0.0,,0.0,,,0.0,,
116567,5 Electronic Constellations,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4855,Audio,Fluxus Collection,2008-10-08,N,175297,,,,0.0,,0.0,,,0.0,,
116568,5 Electronic Constellations,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4856,Audio,Fluxus Collection,2008-10-08,N,175298,,,,0.0,,0.0,,,0.0,,
116569,5 Electronic Constellations,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4857,Audio,Fluxus Collection,2008-10-08,N,175299,,,,0.0,,0.0,,,0.0,,
116570,Loud Symphony No. 2,Dick Higgins,2637.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4858,Audio,Fluxus Collection,2008-10-08,N,175300,,,,0.0,,0.0,,,0.0,,
116574,(Organic Music) ?,Toshi Ichiyanagi,36947.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4862,Audio,Fluxus Collection,2008-10-08,N,175305,,,,0.0,,0.0,,,0.0,,
116575,Sogetsu Art Center,Toshi Ichiyanagi,36947.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4863.1,Audio,Fluxus Collection,2008-10-08,N,175306,,,,0.0,,0.0,,,0.0,,
116576,Water Music Albert Fine Happening at Loeb Drawing (?) Center,Albert M. Fine,1874.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4864.1,Audio,Fluxus Collection,2008-10-08,N,175307,,,,0.0,,0.0,,,0.0,,
116577,Ray Johnson A Musics,Albert M. Fine,1874.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4865.1,Audio,Fluxus Collection,2008-10-08,N,175308,,,,0.0,,0.0,,,0.0,,
116578,What's the time?,Arthur Köpcke,18701.0,1964,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4866.1,Audio,Fluxus Collection,2008-10-08,N,175309,,,,0.0,,0.0,,,0.0,,
116579,Micro 1 / Micro 2 / Manodharma with Takeda - 1,Takehisa Kosugi,3227.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4867.1,Audio,Fluxus Collection,2008-10-08,N,175310,,,,0.0,,0.0,,,0.0,,
116580,Stanzas for Iris Lezak,Jackson Mac Low,34743.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4868.1,Audio,Fluxus Collection,2008-10-08,N,175311,,,,0.0,,0.0,,,0.0,,
116581,For J.W. / Cough Music,Richard Maxfield,43277.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4869.1,Audio,Fluxus Collection,2008-10-08,N,175312,,,,0.0,,0.0,,,0.0,,
116582,"#1 / Violin Sonata / Structures (on disk inside: ""instrumentals"")",Richard Maxfield,43277.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4870.1,Audio,Fluxus Collection,2008-10-08,N,175313,,,,0.0,,0.0,,,0.0,,
116583,Electronic Composition / Preliminary Sketches for Standard Deck,Richard Maxfield,43277.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4871,Audio,Fluxus Collection,2008-10-08,N,175314,,,,0.0,,0.0,,,0.0,,
116584,Incandescence,Pierre Mercure,36951.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4872.1,Audio,Fluxus Collection,2008-10-08,N,175315,,,,0.0,,0.0,,,0.0,,
116585,WBAI Broadcast,Charlotte Moorman,43295.0,1963,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4873.1,Audio,Fluxus Collection,2008-10-08,N,175316,,,,0.0,,0.0,,,0.0,,
116586,Public Supply,Max Neuhaus,44757.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4874,Audio,Fluxus Collection,2008-10-08,N,175317,,,,0.0,,0.0,,,0.0,,
116587,Etude Platonique No. 2 or Message to Europeans or \Endure!,Nam June Paik,4469.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4875.1,Audio,Fluxus Collection,2008-10-08,N,175318,,,,0.0,,0.0,,,0.0,,
116588,Piano for all senses,Nam June Paik,4469.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4876,Audio,Fluxus Collection,2008-10-08,N,175319,,,,0.0,,0.0,,,0.0,,
116590,Mikrophonie I,Karlheinz Stockhausen,36957.0,,Open reel,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4878,Audio,Fluxus Collection,2008-10-08,N,175321,,,,0.0,,0.0,,,0.0,,
116591,Mikrophonie II,Karlheinz Stockhausen,36957.0,,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4879,Audio,Fluxus Collection,2008-10-08,N,175322,,,,0.0,,0.0,,,0.0,,
116697,R. Graham: Oeuvres Freudiennes/Oeuvre Wagnériennes,Rodney Graham,25983.0,1996,"Book and CD of ""Verwandlungsmusik""","page (each): 9 7/16 x 7 3/16"" (24 x 18.3 cm); overall (closed): 9 3/4 x 7 5/8 x 1/2"" (24.7 x 19.3 x 1.3 cm)",Gift of Christine Burgin,792.2013.a-b,Audio,Drawings & Prints,2013-10-10,Y,175746,http://www.moma.org/collection/works/175746,,,,,24.0,,,18.3,,
116702,Getting it Together in the Country,Rodney Graham,25983.0,2000,10-inch vinyl record with booklet,"10 1/4 x 10 3/8"" (26 x 26.4 cm)","Gift of Donald Young Gallery
",797.2013,Audio,Drawings & Prints,2013-10-10,Y,175751,http://www.moma.org/collection/works/175751,http://www.moma.org/media/W1siZiIsIjI4ODExOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4c6c4a9f048135a2,,0.0,,26.0,,,26.4,,
116733,Live in London,Rodney Graham Band,45686.0,2005,CD,"4 7/8 x 4 15/16"" (12.4 x 12.5 cm)","Gift of Donald Young Gallery
",828.2013,Audio,Drawings & Prints,2013-10-10,Y,175782,http://www.moma.org/collection/works/175782,http://www.moma.org/media/W1siZiIsIjI4ODE2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=58d9db4c90af3c79,,0.0,,12.4,,,12.5,,
117756,"Revue OU Cinquième Saison, no. 23/24",Various Artists,24409.0,1965,10-inch record in magazine,dimensions vary,Committee on Prints and Illustrated Books Fund,854.2013.299,Audio,Drawings & Prints,2013-10-10,Y,178587,http://www.moma.org/collection/works/178587,http://www.moma.org/media/W1siZiIsIjQwMDE0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ba63771870ddefc,,,,,,,,,
117757,"Revue OU Cinquième Saison, no. 26/27",Various Artists,24409.0,1966,7-inch record in magazine,"cover: 10 5/8 × 10 1/4 × 3/8"" (27 × 26 × 1 cm)",Committee on Prints and Illustrated Books Fund,854.2013.300,Audio,Drawings & Prints,2013-10-10,Y,178588,http://www.moma.org/collection/works/178588,http://www.moma.org/media/W1siZiIsIjQwMDI1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=09b4df9c50ea37a8,,1.0,,27.0,,,26.0,,
117758,"Revue OU Cinquième Saison, no. 28/29",Various Artists,24409.0,1967,10-inch record in magazine,dimensions vary,Committee on Prints and Illustrated Books Fund,854.2013.301,Audio,Drawings & Prints,2013-10-10,Y,178589,http://www.moma.org/collection/works/178589,http://www.moma.org/media/W1siZiIsIjQwMDE0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ac998764da06d4c0,,,,,,,,,
