Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Duration (sec.),ArtistBio,Nationality,Gender,BeginDate,EndDate,Area (cm^2),Aspect,OilPainting,YearCreated,AspectString
511,Red and Blue Disks,František Kupka,3302.0,1911? (dated on painting 1911-12),Oil on canvas,"39 3/8 x 28 3/4"" (100 x 73 cm)",Purchase,141.1951,Painting,Painting & Sculpture,1951-05-24,Y,78970,,,,100.0,,,73.0,,"Czech, 1871–1957",Czech,male,1871.0,1957.0,7300.0,0.73,Y,1911,Portrait
512,Man,Ben Shahn,5366.0,1946,Tempera on board,"22 7/8 x 16 3/8"" (57.9 x 41.5 cm)",Gift of Mr. & Mrs. E. Powis Jones,141.1958,Painting,Painting & Sculpture,1958-10-29,Y,78971,,,,58.1,,,41.6,,"American, born Lithuania. 1898–1969",American,male,1898.0,1969.0,2416.96,0.7160068846815835,N,1946,Portrait
513,Danger on the Stairs,Pierre Roy,5065.0,1927 or 1928,Oil on canvas,"36 x 23 5/8"" (91.4 x 60 cm)",Gift of Abby Aldrich Rockefeller,142.1935,Painting,Painting & Sculpture,1935-06-13,Y,78972,,,,91.4,,,60.0,,"French, 1880–1950",French,male,1880.0,1950.0,5484.0,0.6564551422319475,Y,1927,Portrait
514,"Abraham Lincoln, the Great Emancipator, Pardons the Sentry",Horace Pippin,4635.0,1942,Oil on canvas,"24 x 30"" (60.9 x 76.2 cm)",Gift of Helen Hooker Roelofs,142.1977,Painting,Painting & Sculpture,1977-03-08,Y,78973,,,,60.9,,,76.2,,"American, 1888–1946",American,male,1888.0,1946.0,4640.58,1.251231527093596,Y,1942,Landscape
515,Madame Derain in Green,André Derain,1500.0,1907,Oil on canvas,"28 3/4 x 23 5/8"" (73 x 60 cm)",Given anonymously,143.1942,Painting,Painting & Sculpture,1942-03-18,Y,78974,,,,73.0,,,60.0,,"French, 1880–1954",French,male,1880.0,1954.0,4380.0,0.821917808219178,Y,1907,Portrait
516,Battle of Lights,Joseph Stella,5641.0,1913-14? (dated on painting 1914 and 1915),Oil on canvas mounted on cardboard,"20 1/4"" (51.4 cm) in diameter",Elizabeth Bliss Parkinson Fund,143.1958,Painting,Painting & Sculpture,1958-10-29,Y,78975,,,51.435102870200005,,,,,,"American, 1877–1946",American,male,1877.0,1946.0,,,Y,1913,
517,Abstract Painting,Ad Reinhardt,4856.0,1963,Oil on canvas,"60 x 60"" (152.4 x 152.4 cm)",Gift of Mrs. Morton J. Hornick,143.1977,Painting,Painting & Sculpture,1977-03-08,Y,78976,,,,152.4,,,152.4,,"American, 1913–1967",American,male,1913.0,1967.0,23225.760000000002,1.0,Y,1963,Square
518,Farmhouse Window and Door,Georgia O'Keeffe,4360.0,October 1929,Oil on canvas,"40 x 30"" (101.6 x 76.2 cm)",Acquired through the Richard D. Brixey Bequest,144.1945,Painting,Painting & Sculpture,1945-04-26,Y,78978,,,,101.6,,,76.2,,"American, 1887–1986",American,female,1887.0,1986.0,7741.92,0.7500000000000001,Y,1929,Portrait
519,Chain Reaction,Knud Merrild,3937.0,1947,Oil on canvas over board,"17 1/2 x 13 1/2"" (44.5 x 34.3 cm)",Gift of Alexander M. Bing,144.1951,Painting,Painting & Sculpture,1951-05-24,Y,78979,,,,44.5,,,34.3,,"American, born Denmark.1894–1954",American,male,1894.0,1954.0,1526.35,0.7707865168539325,Y,1947,Portrait
520,Axes,Susan Rothenberg,5044.0,1976,"Synthetic polymer paint, gesso, charcoal, and pencil on canvas","64 5/8"" x 8' 8 7/8"" (164.2 x 266.4 cm)",Purchased with the aid of funds from the National Endowment for the Arts,144.1977,Painting,Painting & Sculpture,1977-03-08,Y,78980,,,,164.2,,,266.4,,"American, 1945–2020",American,female,1945.0,2020.0,43742.87999999999,1.6224116930572472,N,1976,Landscape
521,Bucks County Barn,Charles Sheeler,5383.0,1932,Oil on board,"23 7/8 x 29 7/8"" (60.6 x 75.9 cm)",Gift of Abby Aldrich Rockefeller,145.1935,Painting,Painting & Sculpture,1935-06-04,Y,78981,,,,60.6,,,75.9,,"American, 1883–1965",American,male,1883.0,1965.0,4599.540000000001,1.2524752475247525,Y,1932,Landscape
522,Boots,Marsden Hartley,2521.0,1941,Oil on board,"28 1/8 x 22 1/4"" (71.4 x 56.5 cm)",Purchase,146.1942,Painting,Painting & Sculpture,1942-03-18,Y,78983,,,,71.4,,,56.5,,"American, 1877–1943",American,male,1877.0,1943.0,4034.1000000000004,0.7913165266106442,Y,1941,Portrait
523,I and the Village,Marc Chagall,1055.0,1911,Oil on canvas,"6' 3 5/8"" x 59 5/8"" (192.1 x 151.4 cm)",Mrs. Simon Guggenheim Fund,146.1945,Painting,Painting & Sculpture,1945-06-13,Y,78984,,,,192.1,,,151.4,,"French, born Belarus. 1887–1985",French,male,1887.0,1985.0,29083.94,0.7881311816762103,Y,1911,Portrait
524,Mystical Crucifixion,Heinrich Campendonk,940.0,1926-28?,Oil on glass,"17 1/2 x 15"" (44.5 x 38.1 cm)",Katherine S. Dreier Bequest,146.1953,Painting,Painting & Sculpture,1953-04-07,Y,78985,,,,44.5,,,38.1,,"German, 1889–1957",German,male,1889.0,1957.0,1695.45,0.856179775280899,Y,1926,Portrait
525,Still Life with Liqueur Bottle,Pablo Picasso,4609.0,"Horta de San Joan, August 1909",Oil on canvas,"32 1/8 x 25 3/4"" (81.6 x 65.4 cm)",Mrs. Simon Guggenheim Fund,147.1951,Painting,Painting & Sculpture,1951-05-24,Y,78986,,,,81.6,,,65.4,,"Spanish, 1881–1973",Spanish,male,1881.0,1973.0,5336.64,0.8014705882352943,Y,1909,Portrait
526,"""Ex Act""",John Covert,1280.0,1919,Oil on plywood and board,"25 x 27"" (63.5 x 68.5 cm) including frame",Katherine S. Dreier Bequest,147.1953,Painting,Painting & Sculpture,1953-04-07,Y,78987,,,,59.0,,,64.1,,"American, 1882–1960",American,male,1882.0,1960.0,3781.8999999999996,1.0864406779661016,Y,1919,Landscape
527,Landscape,Marcel Duchamp,1634.0,"Neuilly, January-February 1911",Oil on canvas,"18 1/8 x 24"" (46.3 x 61.3 cm)",Katherine S. Dreier Bequest,148.1953,Painting,Painting & Sculpture,1953-04-07,Y,78988,,,,46.3,,,61.3,,"American, born France. 1887–1968",American,male,1887.0,1968.0,2838.1899999999996,1.3239740820734343,Y,1911,Landscape
528,Creavit Deus Hominem (Synchromy Number 3: Color Counterpoint),Morgan Russell,5093.0,1913,"Oil on canvas, mounted on cardboard","11 7/8 x 10 1/4"" (30.2 x 26 cm)",Given anonymously,149.1951,Painting,Painting & Sculpture,1951-05-24,Y,78989,,,,30.2,,,26.0,,"American, 1886–1953",American,male,1886.0,1953.0,785.1999999999999,0.8609271523178809,Y,1913,Portrait
529,Section 4,Giuseppe Capogrossi,960.0,1953,Oil on canvas,"7' 1 7/8"" x 38 5/8"" (218.1 x 98.1 cm)",Blanchette Hooker Rockefeller Fund,149.1955,Painting,Painting & Sculpture,1955-06-16,Y,78991,,,,218.1,,,98.1,,"Italian, 1900–1972",Italian,male,1900.0,1972.0,21395.609999999997,0.4497936726272352,Y,1953,Portrait
530,Cock Fight,René Vincent,6167.0,1940,Oil on canvas,"18 x 26"" (45.7 x 66 cm)",Inter-American Fund,150.1944,Painting,Painting & Sculpture,1944-09-27,Y,78992,,,,45.7,,,66.0,,"Haitian, born 1911",Haitian,male,1911.0,0.0,3016.2000000000003,1.4442013129102844,Y,1940,Landscape
531,Grove Group I,Brice Marden,3758.0,1972-73,Oil and wax on canvas,"69"" x 8' 9"" (175.3 x 266.7 cm)",Treadwell Corporation Fund,151.1973,Painting,Painting & Sculpture,1973-03-13,Y,78996,,,,182.8,,,274.5,,"American, born 1938",American,male,1938.0,0.0,50178.600000000006,1.5016411378555798,Y,1972,Landscape
532,Goya Series: And,John Baldessari,304.0,1997,Ink jet and synthetic polymer paint on canvas,"6' 3"" x 60"" (190.5 x 152.3 cm)",Mr. and Mrs. Thomas H. Lee Fund,151.1998,Painting,Painting & Sculpture,1998-03-09,Y,78997,,,,190.5,,,152.3,,"American, 1931-2020",American,male,1931.0,2020.0,29013.15,0.7994750656167979,N,1997,Portrait
533,Election Night,Jack Levine,3513.0,1954,Oil on canvas,"63 1/8"" x 6' 1/2"" (160.3 x 184.1 cm)",Gift of Joseph H. Hirshhorn,153.1955,Painting,Painting & Sculpture,1955-06-16,Y,78998,,,,160.3,,,184.1,,"American, 1915–2010",American,male,1915.0,2010.0,29511.23,1.148471615720524,Y,1954,Landscape
534,Chatham VI: Red Blue,Ellsworth Kelly,3048.0,1971,"Oil on canvas, two panels","9' 6 1/2"" x 8' 6 1/4"" (290.8 x 259.7 cm)",Gift of Douglas S. Cramer Foundation,153.1998.a-b,Painting,Painting & Sculpture,1998-03-09,Y,79000,,,,290.8,,,259.7,,"American, 1923–2015",American,male,1923.0,2015.0,75520.76,0.8930536451169188,Y,1971,Portrait
535,Birds above the Forest (Oiseaux au-dessus de la forêt),Max Ernst,1752.0,1929,Oil on canvas,"31 3/4 x 25 1/4"" (80.6 x 64.1 cm)",Katherine S. Dreier Bequest,154.1953,Painting,Painting & Sculpture,1976-12-07,Y,79001,,,,80.6,,,64.1,,"French and American, born Germany. 1891–1976",French,male,1891.0,1976.0,5166.459999999999,0.7952853598014888,Y,1929,Portrait
536,"Composition with Red, Blue, Black, Yellow, and Gray",Piet Mondrian,4057.0,1921,Oil on canvas,"29 7/8 x 20 5/8"" (76 x 52.4 cm)","Gift of John L. Senior, Jr.",154.1957,Painting,Painting & Sculpture,1957-10-09,Y,79002,,,,76.0,,,52.4,,"Dutch, 1872–1944",Dutch,male,1872.0,1944.0,3982.4,0.6894736842105263,Y,1921,Portrait
537,Sky-Eye,David Deutsch,1516.0,1985,Synthetic polymer paint and gouache on paper mounted on shaped canvas,"18 1/8"" x 7' x 3 1/8"" (46 x 213.3 x 7.9 cm)",Gift of Ernie and Lynn Mieger,154.1986,Painting,Painting & Sculpture,1986-04-07,Y,79003,,7.9,,46.0,,,213.3,,"American, born 1943",American,male,1943.0,0.0,9811.800000000001,4.636956521739131,N,1985,Landscape
538,Still Life with Chinese Tea Pot,Max Weber,6275.0,1925,Oil on canvas,"20 x 24 1/8"" (50.8 x 61.3 cm)",Gift of Abby Aldrich Rockefeller,155.1935,Painting,Painting & Sculpture,1935-06-13,Y,79004,,,,50.8,,,61.3,,"American, born Russia. 1881–1961",American,male,1881.0,1961.0,3114.0399999999995,1.2066929133858268,Y,1925,Landscape
539,"Elegy to the Spanish Republic, 108",Robert Motherwell,4126.0,1965-67,Oil on canvas,"6' 10"" x 11' 6 1/4"" (208.2 x 351.1 cm)",Charles Mergentime Fund,155.1970,Painting,Painting & Sculpture,1970-04-10,Y,79007,,,,208.2,,,351.1,,"American, 1915–1991",American,male,1915.0,1991.0,73099.02,1.6863592699327572,Y,1965,Landscape
540,"Shinjuku Pleasure District, Tokyo II",Yvonne Jacquette,2875.0,1985,Oil on canvas,"6' 4 1/2"" x 7' 8 1/2"" (194.3 x 234.9 cm)",Gift of Anne and Sid Bass,155.1986,Painting,Painting & Sculpture,1986-04-07,Y,79008,,,,194.3,,,234.9,,"American, born 1934",American,female,1934.0,0.0,45641.07000000001,1.208955223880597,Y,1985,Landscape
541,Houses at Night,Karl Schmidt-Rottluff,5242.0,1912,Oil on canvas,"37 5/8 x 34 1/2"" (95.6 x 87.4 cm)",Gift of Mr. and Mrs. Walter Bareiss,156.1957,Painting,Painting & Sculpture,1957-10-09,Y,79009,,,,95.6,,,87.4,,"German, 1884–1976",German,male,1884.0,1976.0,8355.44,0.9142259414225943,Y,1912,Portrait
542,The Serenity of the Scholar,Giorgio de Chirico,1106.0,"Paris, April-May 1914",Oil and charcoal on canvas,"51 1/4 x 28 1/2"" (130.1 x 72.4 cm)",Gift of Sylvia Slifka in honor of Joseph Slifka,156.1997,Painting,Painting & Sculpture,1997-04-07,Y,79011,,,,130.1,,,72.4,,"Italian, born Greece. 1888–1978",Italian,male,1888.0,1978.0,9419.24,0.5564950038431976,Y,1914,Portrait
543,Pastorale (Rhythms),Paul Klee,3130.0,1927,Tempera on canvas mounted on wood,"27 1/4 x 20 5/8"" (69.3 x 52.4 cm)",Abby Aldrich Rockefeller Fund and exchange,157.1945,Painting,Painting & Sculpture,1945-06-13,Y,79012,,,,69.3,,,52.4,,"German, born Switzerland. 1879–1940",German,male,1879.0,1940.0,3631.3199999999997,0.7561327561327561,N,1927,Portrait
544,Find a Way,Sidney Goodman,2240.0,1961,Oil on canvas,"37 3/4 x 61"" (95.7 x 154.7 cm)",Gift of Dr. Abraham Melamed,157.1962,Painting,Painting & Sculpture,1962-05-08,Y,79013,,,,95.7,,,154.7,,"American, 1936–2013",American,male,1936.0,2013.0,14804.789999999999,1.6165099268547543,Y,1961,Landscape
545,Study,Ernest  Trova,5938.0,1960,Oil and mixed mediums on canvas,"20 x 16"" (50.8 x 40.6 cm)",Gift of Mr. and Mrs. Morton D. May,159.1962,Painting,Painting & Sculpture,1962-05-08,Y,79014,,,,50.8,,,40.6,,"American, 1927–2009",American,male,1927.0,2009.0,2062.48,0.7992125984251969,Y,1960,Portrait
546,Pharisees,Karl Schmidt-Rottluff,5242.0,1912,Oil on canvas,"29 7/8 x 40 1/2"" (75.9 x 102.9 cm)",Gertrud A. Mellon Fund,160.1955,Painting,Painting & Sculpture,1955-06-16,Y,79016,,,,75.9,,,102.9,,"German, 1884–1976",German,male,1884.0,1976.0,7810.110000000001,1.3557312252964426,Y,1912,Landscape
547,Quiet Sign,Fritz Winter,6405.0,1953,Oil on burlap,"45 x 57 1/2"" (114.3 x 146 cm)",Gertrud A. Mellon Fund,161.1955,Painting,Painting & Sculpture,1955-06-16,Y,79017,,,,114.3,,,146.0,,"German, 1905–1976",German,male,1905.0,1976.0,16687.8,1.2773403324584427,Y,1953,Landscape
548,The Persistence of Memory,Salvador Dalí,1364.0,1931,Oil on canvas,"9 1/2 x 13"" (24.1 x 33 cm)",Given anonymously,162.1934,Painting,Painting & Sculpture,1934-12-20,Y,79018,,,,24.1,,,33.0,,"Spanish, 1904–1989",Spanish,male,1904.0,1989.0,795.3000000000001,1.3692946058091287,Y,1931,Landscape
549,Still Life in Red,Amelia Peláez Del Casal,4541.0,1938,Oil on canvas,"27 1/4 x 33 1/2"" (69.3 x 85.1 cm)",Inter-American Fund,162.1942,Painting,Painting & Sculpture,1942-03-18,Y,79019,,,,69.3,,,85.1,,"Cuban, 1896–1968",Cuban,female,1896.0,1968.0,5897.429999999999,1.227994227994228,Y,1938,Landscape
550,Chasuble,Henri Matisse,3832.0,c. 1950,"Silk with appliqué of silk satin, shantung, and velvet, lined","36"" x 54"" (91.4 x 137.2 cm)",Gift of Mrs. Gertrud A. Mellon,162.1955,Painting,Painting & Sculpture,1955-06-16,Y,79020,,0.0,,91.44018288040002,,,137.16027432049998,,"French, 1869–1954",French,male,1869.0,1954.0,12541.960567792352,1.499999999998906,N,1950,Landscape
551,"GHOSTS. Composed of GHOST (de Chirico: The Enigma of the Day), GHOST (Hopper: House by the Railroad), GHOST (Magritte: The Menaced Assasin)",Sophie Calle,6655.0,1991,"Oil, synthetic polymer paint, graphite and silkscreen ink, and color laser prints","Overall dimensions variable. GHOST (de Chirico: The Enigma of the Day) 7' 8"" x 6' 11"" (231.1 x 210.8 cm). GHOST (Hopper: House by the Railroad) 38 x 48"" (96.5 x 121.9 cm), and GHOST (Magritte: The Menaced Assasin) 6' 10"" x 7' 8"" (208.3 x 233.7 cm)",Gift of The Bohen Foundation,162.1992.1-3,Painting,Painting & Sculpture,1992-02-10,Y,79021,,,,233.7,,,210.8,,"French, born 1953",French,female,1953.0,0.0,49263.96,0.9020111253744117,Y,1991,Portrait
552,The Tranquility of Previous Existence,Walter Quirt,4775.0,1941,Oil on canvas,"24 1/8 x 32"" (61.3 x 81.3 cm)",Purchase,163.1942,Painting,Painting & Sculpture,1942-03-18,Y,79022,,,,61.3,,,81.3,,"American, 1902–1968",American,male,1902.0,1968.0,4983.69,1.3262642740619903,Y,1941,Landscape
553,Dutch Interior (I),Joan Miró,4016.0,"Montroig, July-December 1928",Oil on canvas,"36 1/8 x 28 3/4"" (91.8 x 73 cm)",Mrs. Simon Guggenheim Fund,163.1945,Painting,Painting & Sculpture,1945-12-17,Y,79023,,,,91.8,,,73.0,,"Spanish, 1893–1983",Spanish,male,1893.0,1983.0,6701.4,0.7952069716775599,Y,1928,Portrait
554,Chasuble,Henri Matisse,3832.0,c. 1950,"Silk with appliqué of silk satin, shantung, and velvet, lined","51"" x 76"" (129.5 x 193 cm)",Gift of Mrs. Gertrud A. Mellon,163.1955,Painting,Painting & Sculpture,1955-06-16,Y,79024,,0.0,,129.5402590805,,,193.0403860808,,"French, 1869–1954",French,male,1869.0,1954.0,25006.501625906578,1.4901960784317965,N,1950,Landscape
555,The Organ of Cause & Effect,Richard Artschwager,19.0,1981,Synthetic polymer paint and charcoal on board with mirrors,"69 3/4"" x 6' 9 1/2"" x 11 1/8"" (177.2 x 207 x 28.2  cm)",Gift of the Dannheisser Foundation,163.1996,Painting,Painting & Sculpture,1996-04-09,Y,79025,,28.3,,177.2,,,207.0,,"American, 1923–2013",American,male,1923.0,2013.0,36680.399999999994,1.1681715575620768,N,1981,Landscape
556,The Vases,Amédée Ozenfant,4458.0,1925,Oil on canvas,"51 3/8 x 38 3/8"" (130.5 x 97.5 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),164.1945,Painting,Painting & Sculpture,1945-12-17,Y,79028,,,,130.5,,,97.5,,"French, 1886–1966",French,male,1886.0,1966.0,12723.75,0.7471264367816092,Y,1925,Portrait
557,Chasuble,Henri Matisse,3832.0,c. 1950,"Silk with appliqué of silk satin, shantung, and velvet, lined","47 x 70"" (119.4 x 177.8 cm)",Gift of William V. Griffin in memory of his wife,164.1955,Painting,Painting & Sculpture,1955-06-16,Y,79029,,0.0,,119.38023876049999,,,177.8003556007,,"French, 1869–1954",French,male,1869.0,1954.0,21225.848903313366,1.4893617021272854,N,1950,Landscape
558,Animals,Rufino Tamayo,5795.0,1941,Oil on canvas,"30 1/8 x 40"" (76.5 x 101.6 cm)",Inter-American Fund,165.1942,Painting,Painting & Sculpture,1942-03-18,Y,79030,,,,76.5,,,101.6,,"Mexican, 1899–1991",Mexican,male,1899.0,1991.0,7772.4,1.3281045751633986,Y,1941,Landscape
559,Interior with Mobile,Roy Lichtenstein,3542.0,1992,Oil and magna on canvas,"10' 10"" x 14' 3"" (330.2 x 434.4 cm)","Enid A. Haupt Fund; gift of Agnes Gund, Jo Carole and Ronald S. Lauder, Michael and Judy Ovitz in honor of Roy and Dorothy Lichtenstein; and Anna Marie and Robert F. Shapiro",165.1992,Painting,Painting & Sculpture,1992-02-10,Y,79031,,,,330.2,,,434.4,,"American, 1923–1997",American,male,1923.0,1997.0,143438.87999999998,1.3155663234403392,Y,1992,Landscape
560,American Landscape,Charles Sheeler,5383.0,1930,Oil on canvas,"24 x 31"" (61 x 78.8 cm)",Gift of Abby Aldrich Rockefeller,166.1934,Painting,Painting & Sculpture,1934-12-19,Y,79032,,,,61.0,,,78.8,,"American, 1883–1965",American,male,1883.0,1965.0,4806.8,1.2918032786885245,Y,1930,Landscape
561,"Vertical Sequence, Op. 137",Thomas Wilfred,6371.0,1941,"Projected light on translucent glass screen (duration of form cycle: 7 minutes; duration of color cycle: 7 minutes, 17 seconds; the two cycles coincide every 50 hours, 59 minutes)","screen 15 1/4 x 15 3/8"" (38.7 x 39 cm)",Purchase,166.1942,Painting,Painting & Sculpture,1942-03-18,Y,79033,,,,38.7,,,39.1,,"American, born Denmark. 1889–1968",American,male,1889.0,1968.0,1513.17,1.0103359173126614,N,1941,Landscape
562,Acadia,Maurice Prendergast,4727.0,1922,Oil on canvas,"31 3/4 x 37 1/2"" (80.6 x 95.2 cm)",Abby Aldrich Rockefeller Fund,167.1945,Painting,Painting & Sculpture,1945-12-17,Y,79034,,,,80.6,,,95.2,,"American, 1859–1924",American,male,1859.0,1924.0,7673.12,1.1811414392059554,Y,1922,Landscape
563,"October 18, 1977",Gerhard Richter,4907.0,1988,"Oil on canvas, fifteen panels",Installation variable,"The Sidney and Harriet Janis Collection, gift of Philip Johnson, and acquired through the Lillie P. Bliss Bequest (all by exchange); Enid A. Haupt Fund; Nina and Gordon Bunshaft Bequest Fund; and gift of Emily Rauh Pulitzer",169.1995.a-o,Painting,Painting & Sculpture,1995-05-30,Y,79037,,,,,,,,,"German, born 1932",German,male,1932.0,0.0,,,Y,1988,
564,The First Communication,Attilio Salemme,5122.0,1943,Oil on canvas,"13 x 19 7/8"" (33 x 50.5 cm)",Purchase,171.1945,Painting,Painting & Sculpture,1945-12-17,Y,79038,,,,33.0,,,50.5,,"American, 1911–1955",American,male,1911.0,1955.0,1666.5,1.5303030303030303,Y,1943,Landscape
565,Propellers,Fernand Léger,6624.0,1918,Oil on canvas,"31 7/8 x 25 3/4"" (80.9 x 65.4 cm)",Katherine S. Dreier Bequest,171.1953,Painting,Painting & Sculpture,1953-04-07,Y,79039,,,,80.9,,,65.4,,"French, 1881–1955",French,male,1881.0,1955.0,5290.860000000001,0.8084054388133498,Y,1918,Portrait
566,Proun 19D,El Lissitzky,3569.0,1920 or 1921,"Gesso, oil, varnish, crayon, colored papers, sandpaper, graph paper, cardboard, metallic paint, and metal foil on plywood","38 3/8 x 38 1/4"" (97.5 x 97.2 cm)",Katherine S. Dreier Bequest,172.1953,Painting,Painting & Sculpture,1953-04-07,Y,79040,,,,97.5,,,97.2,,"Russian, 1890–1941",Russian,male,1890.0,1941.0,9477.0,0.9969230769230769,Y,1920,Portrait
567,Composition with Still Life,Edwin Dickinson,1536.0,1933-37,Oil on canvas,"8' 1"" x 6' 5 3/4"" (246.4 x 197.5 cm)",Gift of Mr. and Mrs. Ansley W. Sawyer,173.1952,Painting,Painting & Sculpture,1952-10-21,Y,79041,,,,246.4,,,197.5,,"American, 1891–1978",American,male,1891.0,1978.0,48664.0,0.8015422077922078,Y,1933,Portrait
568,Amulet for a Yellow Landscape,Mordecai Ardon,211.0,1966,Oil and tempera on canvas,"38 1/8 x 50 3/4"" (96.8 x 128.7 cm)",Gift of Mr. and Mrs. George M. Jaffin,173.1967,Painting,Painting & Sculpture,1967-04-11,Y,79042,,,,96.8,,,128.7,,"Israeli, born Poland. 1896–1992",Israeli,male,1896.0,1992.0,12458.159999999998,1.3295454545454544,Y,1966,Landscape
569,The Passage from Virgin to Bride,Marcel Duchamp,1634.0,"Munich, July-August 1912",Oil on canvas,"23 3/8 x 21 1/4"" (59.4 x 54 cm)",Purchase,174.1945,Painting,Painting & Sculpture,1945-12-17,Y,79044,,,,59.4,,,54.0,,"American, born France. 1887–1968",American,male,1887.0,1968.0,3207.6,0.9090909090909091,Y,1912,Portrait
570,Nostalgia of Space,Oscar Domínguez,1579.0,1939,Oil on canvas,"28 3/4 x 36 1/8"" (73 x 91.8 cm)",Gift of Peggy Guggenheim,174.1952,Painting,Painting & Sculpture,1952-10-21,Y,79045,,,,73.0,,,91.8,,"French, born Spain. 1906–1957",French,male,1906.0,1957.0,6701.4,1.2575342465753425,Y,1939,Landscape
571,Silvered Circle,Jose Antonio Fernández-Muro,8294.0,1962,Oil on aluminum paper over canvas,"68 1/8 x 50"" (173 x 126.8 cm)",Gift of Emilio del Junco,174.1963,Painting,Painting & Sculpture,1963-03-12,Y,79046,,,,173.0,,,126.8,,"Argentine, born Spain, 1920",Argentine,male,1920.0,0.0,21936.399999999998,0.7329479768786127,Y,1962,Portrait
572,Man with a Guitar,Georges Braque,744.0,"Céret, summer 1911-early 1912",Oil on canvas,"45 3/4 x 31 7/8"" (116.2 x 80.9 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),175.1945,Painting,Painting & Sculpture,1945-12-17,Y,79048,,,,116.2,,,80.9,,"French, 1882–1963",French,male,1882.0,1963.0,9400.580000000002,0.6962134251290878,Y,1911,Portrait
573,Voyager's Return,Adolph Gottlieb,2268.0,1946,Oil on canvas,"37 7/8 x 29 7/8"" (96.2 x 75.9 cm)",Gift of Mr. and Mrs. Roy R. Neuberger,175.1946,Painting,Painting & Sculpture,1946-11-14,Y,79049,,,,96.2,,,75.9,,"American, 1903–1974",American,male,1903.0,1974.0,7301.580000000001,0.788981288981289,Y,1946,Portrait
574,German Landscape,Elmer Schooley,5265.0,1962,Oil on canvas,"30 1/8 x 36 1/4"" (76.4 x 91.8 cm)",Gift of the artist through the Ford Foundation Purchase Program,175.1963,Painting,Painting & Sculpture,1963-03-12,Y,79050,,,,76.4,,,91.8,,"American, 1916–2007",American,male,1916.0,2007.0,7013.52,1.2015706806282722,Y,1962,Landscape
575,"""Ma Jolie""",Pablo Picasso,4609.0,"Paris, winter 1911-12",Oil on canvas,"39 3/8 x 25 3/4"" (100 x 64.5 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),176.1945,Painting,Painting & Sculpture,1945-12-17,Y,79051,,,,100.0,,,64.5,,"Spanish, 1881–1973",Spanish,male,1881.0,1973.0,6450.0,0.645,Y,1911,Portrait
576,Card Player,Pablo Picasso,4609.0,"Paris, winter 1913-14",Oil on canvas,"42 1/2 x 35 1/4"" (108 x 89.5 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),177.1945,Painting,Painting & Sculpture,1945-12-17,Y,79052,,,,108.0,,,89.5,,"Spanish, 1881–1973",Spanish,male,1881.0,1973.0,9666.0,0.8287037037037037,Y,1913,Portrait
577,The Baluster,Fernand Léger,6624.0,1925,Oil on canvas,"51 x 38 1/4"" (129.5 x 97.2 cm)",Mrs. Simon Guggenheim Fund,179.1952,Painting,Painting & Sculpture,1952-10-21,Y,79058,,,,129.5,,,97.2,,"French, 1881–1955",French,male,1881.0,1955.0,12587.4,0.7505791505791506,Y,1925,Portrait
578,Tableau I: Lozenge with Four Lines and Gray,Piet Mondrian,4057.0,1926,Oil on canvas,"46 1/8 × 45 1/2"" (117.2 × 115.6 cm)",Katherine S. Dreier Bequest,179.1953,Painting,Painting & Sculpture,1953-04-07,Y,79059,,,,113.6652,,,111.7602,,"Dutch, 1872–1944",Dutch,male,1872.0,1944.0,12703.245485039999,0.9832402529534106,Y,1926,Portrait
579,"""Untitled""",Felix Gonzalez-Torres,2233.0,1991,Billboard,Dimensions vary with installation,Gift of Werner and Elaine Dannheisser,180.1996,Painting,Painting & Sculpture,1996-04-09,Y,79063,,,,317.5,,,690.9,,"American, born Cuba. 1957–1996",American,male,1957.0,1996.0,219360.75,2.176062992125984,N,1991,Landscape
580,Étienne-Martin,Karel Appel,203.0,1956,Oil on canvas,"6' 4 7/8"" x 51 1/4"" (195.1 x 130.1 cm)",Purchase,183.1966,Painting,Painting & Sculpture,1966-04-12,Y,79066,,,,195.1,,,130.1,,"Dutch, 1921–2006",Dutch,male,1921.0,2006.0,25382.51,0.6668375192209124,Y,1956,Portrait
581,"APR. 24, 1990",On Kawara,3030.0,1990,Acrylic on canvas,"18 1/4 × 24"" (46.4 × 61 cm), box 2 × 24 × 18 3/4"" (5.1 × 61 × 47.6 cm)",Gift of Werner and Elaine Dannheisser,183.1996.1-2,Painting,Painting & Sculpture,1996-04-09,Y,79067,,,,46.4,,,61.0,,"Japanese, 1933–2014",Japanese,male,1933.0,0.0,2830.4,1.3146551724137931,N,1990,Landscape
