Index,Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
92015,Shadow-Play,Vito Acconci,53.0,1970,"Super 8 film transferred to video (black and white, silent)",2:30 min.,Acquired through the generosity of Scott J. Lorinsky,1157.2007.1,Video,Media and Performance,2007-12-10,Y,112214,http://www.moma.org/collection/works/112214,http://www.moma.org/media/W1siZiIsIjE1MTU2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5bab41b27de9c9b6,,,,,,,,,0.0
92259,"Three Relationship Studies: Shadow-Play, Imitations, Manipulations",Vito Acconci,53.0,1970,"Three Super 8 films transferred to video (black and white and color, silent)",12:30 min.,"Acquired through the generosity of Scott J. Lorinsky
",1157.2007.1-3,Video,Media and Performance,2007-12-10,Y,114396,http://www.moma.org/collection/works/114396,http://www.moma.org/media/W1siZiIsIjEzNjAwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=225ed7067f12a1f3,,,,,,,,,750.0
92260,Imitations,Vito Acconci,53.0,1970,"Super 8 film transferred to video (black and white and color, silent)",4:26 min.,Acquired through the generosity of Scott J. Lorinsky,1157.2007.2,Video,Media and Performance,2007-12-10,Y,114397,http://www.moma.org/collection/works/114397,http://www.moma.org/media/W1siZiIsIjE1MTU2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b23a782292ad5a86,,,,,,,,,0.0
92261,Manipulations,Vito Acconci,53.0,1970,"Super 8 film transferred to video (black and white and color, silent)",5:34 min.,Acquired through the generosity of Scott J. Lorinsky,1157.2007.3,Video,Media and Performance,2007-12-10,Y,114398,http://www.moma.org/collection/works/114398,http://www.moma.org/media/W1siZiIsIjE1MTU2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=990dc8c352011241,,,,,,,,,334.0
92262,See Through,Vito Acconci,53.0,1970,"Super 8 film transferred to video (color, silent)",5 min.,Committee on Media Funds,1158.2007,Video,Media and Performance,2007-12-10,Y,114399,http://www.moma.org/collection/works/114399,http://www.moma.org/media/W1siZiIsIjEzNjAwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6f3e132bd8570f2,,,,,,,,,300.0
92263,Technology/Transformation: Wonder Woman,Dara Birnbaum,34389.0,1978-79,"Video (color, sound)",5:50 min.,Committee on Media Funds,1161.2007,Video,Media and Performance,2007-12-10,Y,114400,http://www.moma.org/collection/works/114400,http://www.moma.org/media/W1siZiIsIjEzNjAxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6bd26fce1a0b6b5b,,,,,,,,,350.0
92265,Sous-sols de Paris (Paris Underground),Gordon Matta-Clark,6636.0,1977-2005,"Super 8mm film transferred to video (black and white, sound)",25:20 min.,Committee on Media Funds,1165.2007.2,Video,Media and Performance,2007-12-10,Y,114402,http://www.moma.org/collection/works/114402,http://www.moma.org/media/W1siZiIsIjEzNjAzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4085356c7d411e72,,,,,,,,,0.0
92266,City Slivers,Gordon Matta-Clark,6636.0,1976,"Super 8 film transferred to video (color, silent)",15 min.,Committee on Media Funds,1166.2007.3,Video,Media and Performance,2007-12-10,Y,114403,http://www.moma.org/collection/works/114403,http://www.moma.org/media/W1siZiIsIjEzNjAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8195e52426e1b3fb,,,,,,,,,900.0
92267,Substrait (Underground Dailies),Gordon Matta-Clark,6636.0,1976,"16mm film transferred to video (black and white and color, sound)",30 min.,Committee on Media Funds,1167.2007.3,Video,Media and Performance,2007-12-10,Y,114404,http://www.moma.org/collection/works/114404,http://www.moma.org/media/W1siZiIsIjEzNjAzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c09d613da11e260e,,,,,,,,,1800.0
92268,Conical Intersect,Gordon Matta-Clark,6636.0,1975,"16mm film transferred to video (color, silent)",18:40 min.,Committee on Media Funds,1165.2007.1,Video,Media and Performance,2007-12-10,Y,114405,http://www.moma.org/collection/works/114405,http://www.moma.org/media/W1siZiIsIjEyNzg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4a17b946d3d40d99,,,,,,,,,0.0
